"%1 details","Detalles de %1"
"%1 [Trace ID: %2]","%1 [Trace ID: %2]"
"%1 could not be reached to verify this API key. This is a connection problem rather than necessarily a problem with the key. Check that this store can make outbound requests, then try again.","No se ha podido contactar con %1 para verificar esta clave API. Se trata de un problema de conexión y no necesariamente de un problema con la clave. Comprueba que esta tienda pueda realizar solicitudes salientes e inténtalo de nuevo."
"%1 could not verify this API key because the service returned an error (HTTP %2). The key itself may be fine, so please try again shortly.","%1 no ha podido verificar esta clave API porque el servicio ha devuelto un error (HTTP %2). Puede que la clave sea correcta, así que inténtalo de nuevo en unos instantes."
"%1 customer address updated.","Dirección del cliente de %1 actualizada."
"%1 is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using %1, you can access flexible trade credit instantly to make purchasing simple.","%1 es una solución de pago para compras B2B en línea que te permite comprar a tus comerciantes y proveedores favoritos mediante crédito comercial. Con %1, puedes acceder al instante a crédito comercial flexible para simplificar tus compras."
"%1 order has been marked as cancelled","El pedido de %1 se ha marcado como cancelado"
"%1 order marked as completed.","Pedido de %1 marcado como completado."
"%1 order marked as partially completed.","Pedido de %1 marcado como parcialmente completado."
"%1 payment has been verified by the customer.","El pago de %1 ha sido verificado por el cliente."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 requiere que se envíe el pedido completo antes de poder cumplirlo."
"%1 returned an unexpected response while verifying this API key, so it could not be confirmed. Please try again shortly.","%1 ha devuelto una respuesta inesperada al verificar esta clave API, por lo que no se ha podido confirmar. Inténtalo de nuevo en unos instantes."
"%1 terms and conditions","Términos y condiciones de %1"
"* Required Fields","* Campos obligatorios"
"Custom headers: ""%1"" is listed more than once. Give each header one row.","Cabeceras personalizadas: ""%1"" aparece más de una vez. Asigna una sola fila a cada cabecera."
"Custom headers: ""%1"" has no value. Give it one, or remove the row.","Cabeceras personalizadas: ""%1"" no tiene valor. Asígnale uno o elimina la fila."
"Custom headers: row %1 has a value but no header name.","Cabeceras personalizadas: la fila %1 tiene un valor pero no un nombre de cabecera."
"Custom headers: the value for ""%1"" may only contain printable ASCII characters — no line breaks, control characters, or non-ASCII text.","Cabeceras personalizadas: el valor de ""%1"" solo puede contener caracteres ASCII imprimibles — sin saltos de línea, caracteres de control ni texto no ASCII."
"Custom headers: the table could not be stored. Check the values for stray characters.","Cabeceras personalizadas: no se ha podido guardar la tabla. Comprueba si los valores contienen caracteres extraños."
"Custom headers: ""%1"" is not a valid HTTP header name.","Cabeceras personalizadas: ""%1"" no es un nombre de cabecera HTTP válido."
"Custom headers: ""%1"" is a reserved header name and cannot be sent from this table.","Cabeceras personalizadas: ""%1"" es un nombre de cabecera reservado y no se puede enviar desde esta tabla."
"Disable checkout rate limiting","Desactivar la limitación de solicitudes en el proceso de pago"
"Order management","Gestión de pedidos"
"Diagnostics","Diagnóstico"
"Default shipping tax class","Clase de impuestos predeterminada para el envío"
"Default shipping tax rate (%) (deprecated)","Tasa de impuestos de envío predeterminada (%) (obsoleta)"
"Debug & logging","Depuración y registro"
"Enable debug logging","Activar el registro de depuración"
"Admin controls","Controles de administración"
"Clear settings on module uninstall","Borrar los ajustes al desinstalar el módulo"
"Disable SSL verification","Desactivar la verificación SSL"
"Health","Estado"
"Health checklist","Lista de comprobación del estado"
"Verified","Verificado"
"Not verified","No verificado"
"Not set","Sin definir"
"Enabled","Activado"
"Disabled","Desactivado"
"SSL verification","Verificación SSL"
"Security warning: SSL verification is disabled while the Environment is set to Production.","Advertencia de seguridad: la verificación SSL está desactivada mientras el entorno está configurado como Producción."
"Availability","Disponibilidad"
"Company lookup","Consulta de empresa"
"Subtitle","Subtítulo"
"Title & display","Título y visualización"
"Vendor name (optional)","Nombre del vendedor (opcional)"
"Display input tooltips","Mostrar descripciones emergentes en los campos"
"Custom payment terms (days)","Plazos de pago personalizados (días)"
"Default payment terms","Plazos de pago predeterminados"
"Other charges","Otros cargos"
"Refund other charges","Reembolsar otros cargos"
"No matches found","No se han encontrado coincidencias"
"The shipping method is missing. Select the shipping method and try again.","Falta el método de envío. Selecciona el método de envío e inténtalo de nuevo."
"Your order is already being placed. Please wait.","Tu pedido ya se está realizando. Espera, por favor."
"Use Default Value","Usar valor predeterminado"
"%1 surcharge","Recargo de %1"
"%1 order id","ID de pedido de %1"
"Refund %1 surcharge","Reembolsar el recargo de %1"
"What is %1?","¿Qué es %1?"
"%1 is not available for this order","%1 no está disponible para este pedido"
"%1 is not available for this order by %2 (%3)","%1 no está disponible para este pedido de %2 (%3)"
"%1 results are available, use up and down arrow keys to navigate.","%1 resultados disponibles, usa las teclas de flecha arriba y abajo para navegar."
"1 result is available, use up and down arrow keys to navigate.","1 resultado disponible, usa las teclas de flecha arriba y abajo para navegar."
"This payment method is not available for the selected company.","Este método de pago no está disponible para la empresa seleccionada."
"This order is likely to be accepted by %1","Es probable que %1 acepte este pedido"
"This order by %2 (%3) is likely to be accepted by %1","Es probable que %1 acepte este pedido de %2 (%3)"
"Show ""What is Two"" link","Mostrar el enlace ""Qué es Two"""
"Show a link at checkout explaining Two's buy-now-pay-later offering to the buyer.","Mostrar en el proceso de pago un enlace que explique al comprador la oferta de compra ahora y paga después de Two."
"Addresses of your own reverse proxies, load balancers or CDN egress, as IPs or CIDR ranges, separated by commas or new lines. These IP addresses will be exempt from rate limiting.","Direcciones de tus propios proxies inversos, balanceadores de carga o salida de CDN, como IPs o rangos CIDR, separados por comas o saltos de línea. Estas direcciones IP quedarán exentas de la limitación de solicitudes."
"Autocomplete address based on selected country and company. Unavailable while company search is not in the address entry section — with search relocated to the payment method there is no address step left for it to fill.","Autocompletar la dirección según el país y la empresa seleccionados. No disponible mientras la búsqueda de empresa no esté en la sección de introducción de la dirección — al trasladar la búsqueda al método de pago no queda ningún paso de dirección que rellenar."
"Deprecated flat rate. Only used when default_shipping_tax_class above is unset.","Tasa plana obsoleta. Solo se usa cuando default_shipping_tax_class más arriba no está definido."
"Only used when a shipping method charges tax but Magento declares no rate for it. The rate is resolved through this Product Tax Class against the order's shipping destination, the same way a product's tax is resolved. Leave unselected to refuse such orders instead of assuming a rate.","Solo se usa cuando un método de envío cobra impuesto pero Magento no declara ninguna tasa para él. La tasa se resuelve mediante esta Clase de impuestos del artículo según el destino de envío del pedido, igual que se resuelve el impuesto de un producto. Déjalo sin seleccionar para rechazar dichos pedidos en lugar de asumir una tasa."
"Optional subtitle shown beneath the title at checkout. Can be set per store view.","Subtítulo opcional que se muestra debajo del título en el proceso de pago. Se puede definir por vista de tienda."
"Subtitle accepts plain text and a single link only; ""%1"" would be shown as ""%2"".","El subtítulo solo admite texto sin formato y un único enlace; ""%1"" se mostraría como ""%2""."
"Show a hover tooltip with the field label on the optional checkout field inputs above.","Mostrar una descripción emergente con la etiqueta del campo al pasar el ratón sobre los campos opcionales del proceso de pago indicados arriba."
"Total fee charges the configured surcharge for the chosen term. Fee difference charges only the difference versus the default payment term.","Comisión total cobra el recargo configurado para el plazo elegido. Diferencia de comisión cobra solo la diferencia respecto al plazo de pago predeterminado."
"When this module is uninstalled (bin/magento module:uninstall), delete its stored configuration instead of leaving it behind.","Cuando se desinstale este módulo (bin/magento module:uninstall), elimina su configuración almacenada en lugar de conservarla."
"If fulfilment trigger is On Completion, select one or more order statuses which can trigger fulfilment. <strong>Leave this empty and no order status triggers fulfilment, so %1 is never notified that an order was fulfilled.</strong>","Si el activador del cumplimiento es Al completar, selecciona uno o más estados de pedido que puedan activar el cumplimiento. <strong>Si dejas esto vacío, ningún estado de pedido activa el cumplimiento, por lo que nunca se notifica a %1 que un pedido se ha cumplido.</strong>"
"If this store represents one of several vendor sites sharing the same Two merchant account, enter a name here to identify this specific site/vendor. It is sent as the ""vendor_name"" field on every order Two receives from this store, and is not shown to buyers. Leave blank if you only run a single site.","Si esta tienda representa uno de varios sitios de vendedor que comparten la misma cuenta de comerciante de Two, introduce aquí un nombre para identificar este sitio/vendedor concreto. Se envía como el campo ""vendor_name"" en cada pedido que Two recibe de esta tienda, y no se muestra a los compradores. Déjalo en blanco si solo gestionas un único sitio."
"Removes the per-caller ceiling on the company-lookup and order-intent routes. The ceiling is on by default. <strong>If this store sits behind a CDN, load balancer or reverse proxy and <em>Trusted proxies</em> above is empty, every buyer arrives as that one address and shares a single ceiling — buyers are then refused mid-checkout with a too-many-requests message.</strong> The fix is to fill in <strong>Trusted proxies</strong>, which lets the ceiling tell buyers apart; switch this On only as a stopgap while you get that list, and back Off afterwards.","Elimina el límite por solicitante en las rutas de búsqueda de empresa e intención de pedido. El límite está activado de forma predeterminada. <strong>Si esta tienda está detrás de una CDN, un balanceador de carga o un proxy inverso y <em>Proxies de confianza</em> más arriba está vacío, todos los compradores llegan como esa única dirección y comparten un mismo límite — los compradores son entonces rechazados a mitad del proceso de pago con un mensaje de demasiadas solicitudes.</strong> La solución es rellenar <strong>Proxies de confianza</strong>, lo que permite al límite distinguir a los compradores; activa esto solo como medida provisional mientras consigues esa lista, y vuelve a desactivarlo después."
"Two: checkout rate limiting is on and no trusted proxies are set. If this store sits behind a CDN, load balancer or reverse proxy, every buyer reaches it as one address and shares a single request ceiling, so buyers can be refused mid-checkout. <a href=""%1"">Set Trusted proxies</a>, or leave this if the store is reached directly.","Two: la limitación de solicitudes del proceso de pago está activada y no hay proxies de confianza configurados. Si esta tienda está detrás de una CDN, un balanceador de carga o un proxy inverso, todos los compradores llegan como una sola dirección y comparten un único límite de solicitudes, por lo que pueden ser rechazados a mitad del proceso de pago. <a href=""%1"">Configura los proxies de confianza</a>, o déjalo así si se accede a la tienda directamente."
"<strong>WARNING: unsafe for production.</strong> Skips TLS certificate verification on outbound calls to the Two API. Only enable this if this store sits behind a corporate proxy that terminates TLS with its own certificate. Leave this Off everywhere else.","<strong>ADVERTENCIA: no es seguro en producción.</strong> Omite la verificación del certificado TLS en las llamadas salientes a la API de Two. Activa esto solo si esta tienda está detrás de un proxy corporativo que termina TLS con su propio certificado. Déjalo desactivado en todos los demás casos."
"Merchant profile","Perfil del comerciante"
"Refresh merchant profile","Actualizar el perfil del comerciante"
"Your offerable payment terms, buyer-surcharge cap, minimum order value and default term are read from Two and cached. They are refreshed once a day by the scheduled job and whenever the API key or environment is saved; use this to pull a change through now.","Los plazos de pago que puedes ofrecer, el límite de recargo al comprador, el valor mínimo de pedido y el plazo predeterminado se leen de Two y se almacenan en caché. Se actualizan una vez al día mediante la tarea programada y cada vez que se guarda la clave API o el entorno; usa esto para aplicar un cambio ahora."
"Merchant profile refreshed.","Perfil del comerciante actualizado."
"Could not refresh the merchant profile — the previously loaded values are still in use. Check that the API key for this scope is valid and that the Two API is reachable.","No se ha podido actualizar el perfil del comerciante: se siguen usando los valores cargados anteriormente. Comprueba que la clave API de este ámbito sea válida y que la API de Two sea accesible."
"Refreshing…","Actualizando…"
"Could not refresh the merchant profile.","No se ha podido actualizar el perfil del comerciante."
"Refreshed %1 of %2 merchant profiles. The rest still use their previously loaded values — check the API key and environment on the store views that use them.","Se han actualizado %1 de %2 perfiles de comerciante. El resto sigue usando los valores cargados anteriormente — comprueba la clave API y el entorno en las vistas de tienda que los usan."
"This scope no longer exists — reload the page and try again.","Este ámbito ya no existe — recarga la página e inténtalo de nuevo."
"No API key is set at this scope, so there is no merchant profile to refresh.","No hay ninguna clave API configurada en este ámbito, por lo que no hay ningún perfil de comerciante que actualizar."
"This website has no store view, so nothing reads the API key set here.","Este sitio web no tiene ninguna vista de tienda, por lo que nada lee la clave API configurada aquí."
"Every store view in this website has its own API key, so nothing reads the one set here.","Cada vista de tienda de este sitio web tiene su propia clave API, por lo que nada lee la que se establece aquí."
"Refreshed %1 of %2 merchant profiles before the request ran out of time. Press again for the rest.","Se han actualizado %1 de %2 perfiles de comerciante antes de que la solicitud agotara el tiempo. Vuelve a pulsar para el resto."
"Two gateway","Pasarela Two"
"Merchant profile fetched from Two: offerable payment terms, buyer-surcharge cap, minimum order value and default term.","Perfil de comerciante obtenido de Two: plazos de pago que se pueden ofrecer, límite del recargo al comprador, valor mínimo del pedido y plazo predeterminado."
"Refreshed %1","%1 actualizado"
"Never refreshed","Nunca actualizado"
"Refreshed %1 — the hourly refresh appears not to be running","%1 actualizado — parece que la actualización horaria no se está ejecutando"
"Missing when read at %1 — the hourly refresh appears not to be running","Faltaba en la lectura de %1 — parece que la actualización horaria no se está ejecutando"
"Payment terms you are not able to offer: %1 days. Choose from: %2 days.","Plazos de pago que no puedes ofrecer: %1 días. Elige entre: %2 días."
"Unrecognised surcharge method: %1. Choose one of: %2.","Método de recargo no reconocido: %1. Elige uno de: %2."
"Remove","Eliminar"
"Custom payment terms (days) can only be removed, not changed.","Los plazos de pago personalizados (días) solo se pueden eliminar, no modificar."
"Default payment terms names %1 days, which is not one of the terms you offer: %2 days. Choose one of those in this same save.","Los plazos de pago predeterminados indican %1 días, que no es uno de los plazos que ofreces: %2 días. Elige uno de esos en este mismo guardado."
"Custom payment terms (days) holds ""%1"", which is not a usable number of days. Choose Remove on that field to clear it.","Los plazos de pago personalizados (días) contienen ""%1"", que no es un número de días utilizable. Elige Eliminar en ese campo para borrarlo."
"Custom payment terms (days) holds ""%1"", which is not a usable number of days: untick the inherit box on that field and choose Remove to clear it here, or choose Remove at the scope it is set on.","Los plazos de pago personalizados (días) contienen ""%1"", que no es un número de días utilizable: desmarca la casilla de herencia en ese campo y elige Eliminar para borrarlo aquí, o elige Eliminar en el ámbito en el que está definido."
"Custom payment terms (days) of %1 is now one of the standard terms you offer, so it has been selected under Payment terms and the custom field cleared.","Los plazos de pago personalizados (días) de %1 ahora son uno de los plazos estándar que ofreces, por lo que se han seleccionado en Plazos de pago y se ha borrado el campo personalizado."
"Legacy setting. This offers a custom term of %1 days after the end of the month. It is no longer supported and cannot be edited. Choose Remove to withdraw it, or use the payment terms above to change what you offer.","Ajuste heredado. Ofrece un plazo personalizado de %1 días tras el fin de mes. Ya no es compatible y no se puede editar. Elige Eliminar para retirarlo, o usa los plazos de pago de arriba para cambiar lo que ofreces."
"Legacy setting. This offers a custom term of %1 days from fulfilment. It is no longer supported and cannot be edited. Choose Remove to withdraw it, or use the payment terms above to change what you offer.","Ajuste heredado. Ofrece un plazo personalizado de %1 días desde el cumplimiento. Ya no es compatible y no se puede editar. Elige Eliminar para retirarlo, o usa los plazos de pago de arriba para cambiar lo que ofreces."
"Legacy setting currently holds ""%1"", which is not a usable number of days. It is no longer supported and cannot be edited, and this section cannot be saved until it is removed. Choose Remove to clear it.","El ajuste heredado contiene actualmente ""%1"", que no es un número de días utilizable. Ya no es compatible y no se puede editar, y esta sección no se puede guardar hasta que se elimine. Elige Eliminar para borrarlo."
"Select at least one payment term.","Selecciona al menos un plazo de pago."
"Fees could not be loaded because the pricing service could not be reached. The figures beside each term are missing, not zero.","No se han podido cargar las comisiones porque no se ha podido contactar con el servicio de precios. Las cifras junto a cada plazo faltan, no son cero."
"Fees could not be refreshed, so the figures last retrieved are shown.","No se han podido actualizar las comisiones, por lo que se muestran las últimas cifras obtenidas."
"Fees could not be refreshed, so the figures retrieved on %1 are shown.","No se han podido actualizar las comisiones, por lo que se muestran las cifras obtenidas el %1."
"Fees cannot be shown until an API key is saved for this scope.","No se pueden mostrar las comisiones hasta que se guarde una clave API para este ámbito."
"no figure","sin cifra"
"Other charges refund must be a valid amount (e.g. 1.50 or 1,50).","El reembolso de otros cargos debe ser un importe válido (p. ej. 1.50 o 1,50)."
"Other charges refund cannot be negative.","El reembolso de otros cargos no puede ser negativo."
"Other charges refund (%1) exceeds the remaining refundable other charges (%2).","El reembolso de otros cargos (%1) supera los otros cargos reembolsables restantes (%2)."
"Other charges cannot be refunded on this credit memo: its tax is short by %1 against its own lines.","No se pueden reembolsar otros cargos en esta nota de crédito: su impuesto es inferior en %1 respecto a sus propias líneas."
"Other charges cannot be refunded: the order has no usable currency conversion rate.","No se pueden reembolsar otros cargos: el pedido no tiene un tipo de conversión de moneda utilizable."
"Other charges refund (%1) exceeds what the order's remaining VAT allowance covers (%2).","El reembolso de otros cargos (%1) supera lo que cubre el margen de IVA restante del pedido (%2)."
"Other charges refund (%1) exceeds what is still refundable on this order (%2).","El reembolso de otros cargos (%1) supera lo que todavía es reembolsable en este pedido (%2)."
"Other charges cannot be refunded on this credit memo: %1 of VAT is already granted, more than %2 of net carries.","No se pueden reembolsar otros cargos en esta nota de crédito: ya se ha concedido %1 de IVA, más de lo que soporta %2 de neto."
"Payment method at checkout","Método de pago en el proceso de pago"
"Not shown at checkout","No se muestra en el proceso de pago"
"the payment method is disabled. Check Enable payment method.","el método de pago está desactivado. Revisa Activar el método de pago."
"no API key is saved. Check API key.","no hay ninguna clave API guardada. Revisa Clave API."
"the API key was rejected. Check API key and Environment.","la clave API fue rechazada. Revisa Clave API y Entorno."
"the saved surcharge method is not recognised. Check Surcharge method.","el método de recargo guardado no se reconoce. Revisa Método de recargo."
"Shown at checkout","Se muestra en el proceso de pago"
"no buyer countries are currently enabled for your account. Contact %1 to have them enabled.","actualmente no hay ningún país de comprador habilitado para tu cuenta. Contacta con %1 para habilitarlos."
"hidden for baskets below %1","oculto para carritos por debajo de %1"
"hidden for baskets below %1 or %2","oculto para carritos por debajo de %1 o %2"
"excluding tax","sin impuestos"
"including tax","con impuestos"
"the buyer countries on your account could not be read. Contact %1.","no se han podido leer los países de comprador de tu cuenta. Contacta con %1."
"country availability is set to specific countries with none chosen. Check Allowed countries.","la disponibilidad por país está configurada en países específicos sin ninguno seleccionado. Revisa Países permitidos."
"minimum order value not known until your profile refreshes","el valor mínimo del pedido no se conoce hasta que tu perfil se actualice"
"hidden for baskets in a currency the buyer surcharge cannot be priced in","oculto para carritos en una moneda en la que el recargo al comprador no puede calcularse"
"offered only to buyers in %1","ofrecido solo a compradores en %1"
"offered to no buyer country, because the two country lists do not overlap","no se ofrece a ningún país de comprador, porque las dos listas de países no coinciden"
"Automatic","Automático"
"%1 (Excl. Tax)","%1 (Impuestos no incl.)"
"%1 (Incl. Tax)","%1 (Impuestos incl.)"
"Cannot apply the surcharge limit in %1: no exchange rate is currently available.","No se puede aplicar el límite de recargo en %1: actualmente no hay ningún tipo de cambio disponible."
"EOM+%1","EOM+%1"
